image_id,healthy,multiple_diseases,rust,scab
Test_0,4.412043e-06,1.9759344e-05,0.9999745,1.341758e-06
Test_1,7.310153e-07,0.00020336622,0.9997954,5.617271e-07
Test_2,2.1318046e-05,0.00017221298,2.844597e-06,0.9998036
Test_3,0.99994135,4.8453267e-06,4.2510997e-05,1.1303054e-05
Test_4,3.5671857e-07,0.00035730016,0.999642,3.6695522e-07
Test_5,0.9993813,1.5353736e-06,0.00040156534,0.00021556085
Test_6,0.99892044,0.00011330622,0.00015187995,0.00081434543
Test_7,1.2130885e-05,0.0008460368,3.9055312e-06,0.9991379
Test_8,1.8422177e-05,0.9957911,4.3309194e-07,0.0041900785
Test_9,7.85168e-07,0.0016609364,0.9983374,7.8179966e-07
Test_10,4.3271198e-06,5.3084303e-05,0.9999423,2.0633378e-07
Test_11,0.99972826,4.6502235e-05,0.00015667152,6.858036e-05
Test_12,0.3227088,0.20773382,0.0058396496,0.4637177
Test_13,0.99991953,1.792873e-05,5.324315e-05,9.2964965e-06
Test_14,5.794256e-06,2.7211643e-05,0.9999665,4.6737904e-07
Test_15,2.5167046e-06,0.00016985198,0.9998272,5.032737e-07
Test_16,0.9991358,3.553319e-05,0.00035836906,0.00047041764
Test_17,0.00024251164,0.2536479,1.278692e-05,0.7460968
Test_18,0.009973895,0.012969213,0.003809601,0.9732473
Test_19,6.581596e-06,2.5490554e-05,0.999961,6.8982563e-06
Test_20,0.001612074,0.0023627083,0.000111756126,0.99591345
Test_21,0.99989235,2.841951e-06,7.0861206e-05,3.3940163e-05
Test_22,3.0585272e-07,0.00026669234,0.99973303,1.4813977e-08
Test_23,0.00029628415,1.31428715e-05,5.888109e-05,0.99963164
Test_24,0.99901545,0.0008708944,5.9638856e-05,5.40119e-05
Test_25,0.0001870271,0.0002901673,9.964841e-05,0.99942327
Test_26,0.0007891175,0.0034936585,8.338783e-05,0.9956338
Test_27,3.9867786e-07,7.8526464e-05,0.99992096,1.7541099e-07
Test_28,0.99987555,5.8689043e-06,8.9488014e-05,2.9057715e-05
Test_29,0.0058786813,0.5911323,0.40207708,0.00091193354
Test_30,0.9998659,7.006301e-06,2.3593715e-05,0.000103445105
Test_31,3.514307e-05,0.042762186,0.9572002,2.4485796e-06
Test_32,0.028325526,0.00020627922,0.02720511,0.94426304
Test_33,4.7880072e-05,2.6448875e-05,1.7628428e-05,0.999908
Test_34,0.0020670537,0.20143588,0.0003459429,0.7961511
Test_35,0.00083686877,0.0067755417,6.576596e-05,0.9923218
Test_36,1.0058064e-05,0.000117164585,0.9998679,4.904387e-06
Test_37,0.0037860791,0.48642597,0.0002292287,0.5095587
Test_38,6.7274405e-06,0.00024612498,4.994174e-07,0.9997466
Test_39,0.00013728403,4.0783334e-07,0.99984443,1.7824383e-05
Test_40,2.545056e-07,7.172154e-06,0.99999225,3.219186e-07
Test_41,9.466205e-06,5.9461083e-05,0.99985206,7.904564e-05
Test_42,1.2691054e-05,0.0025191347,7.1012397e-07,0.9974675
Test_43,0.00055382756,0.00082989875,0.9970661,0.001550203
Test_44,0.09289902,0.17453684,0.6847032,0.04786104
Test_45,0.0019239489,0.121668175,0.0006633447,0.8757445
Test_46,0.80859756,0.00092082354,0.00049642834,0.18998516
Test_47,1.5770539e-06,0.00012792913,0.9998702,2.6260102e-07
Test_48,3.7790346e-07,5.3395797e-05,0.9999461,1.1710017e-07
Test_49,2.3638593e-06,6.036369e-07,0.99999666,3.0430505e-07
Test_50,9.204542e-05,0.00029787098,0.9994924,0.00011760477
Test_51,1.5897408e-06,2.2662958e-05,0.99996245,1.3353637e-05
Test_52,5.823149e-07,3.842108e-05,0.999961,1.652135e-08
Test_53,4.673927e-08,2.4461433e-05,0.9999753,9.272496e-08
Test_54,0.0018141831,0.9411899,0.0036175533,0.05337846
Test_55,2.0868556e-05,0.0005012709,2.3874289e-05,0.9994541
Test_56,0.0001276654,0.3203317,0.0001672777,0.6793734
Test_57,0.910068,0.058029078,0.022470905,0.009432039
Test_58,4.0960877e-06,1.6315478e-05,5.285312e-07,0.99997914
Test_59,0.0005685205,0.022304123,0.9766366,0.00049071736
Test_60,2.8580274e-05,0.00042269696,3.0688105e-05,0.99951804
Test_61,0.99992824,2.8864799e-05,2.8592629e-05,1.4267269e-05
Test_62,7.848191e-05,0.0026294065,0.00026024,0.9970318
Test_63,0.0039214827,0.57084674,0.00020178403,0.42503005
Test_64,0.9980574,1.05253275e-05,0.0004894499,0.0014426116
Test_65,5.0934334e-05,0.000122758,0.9997522,7.412117e-05
Test_66,0.99986017,7.4057105e-05,4.6768e-06,6.11046e-05
Test_67,5.7538433e-05,4.302501e-07,0.9994357,0.0005062235
Test_68,0.0015315658,0.60711026,0.0014155194,0.38994265
Test_69,1.5815152e-05,8.843263e-05,0.99987936,1.6270595e-05
Test_70,0.00075280515,0.00024418943,0.00087653124,0.99812645
Test_71,0.0016947257,2.4333807e-05,0.9980506,0.00023029307
Test_72,0.010822106,0.0067857066,0.0011930172,0.98119915
Test_73,0.99988043,6.13328e-06,9.031641e-05,2.316862e-05
Test_74,0.9885169,6.4011583e-06,6.971826e-05,0.01140704
Test_75,0.012516981,0.0109123895,0.00069271843,0.9758779
Test_76,0.99927086,1.0871519e-05,0.0003916611,0.0003266368
Test_77,0.00043196452,1.1323349e-05,0.9940236,0.005533075
Test_78,0.00015773343,0.0485501,2.6180881e-08,0.9512921
Test_79,0.00027261183,0.23899022,0.00026955185,0.7604677
Test_80,0.00057714403,0.57489973,0.42215168,0.0023714567
Test_81,2.0101882e-06,0.0008698851,0.99912745,7.054163e-07
Test_82,0.004217943,0.023219032,0.80813706,0.16442598
Test_83,1.5654356e-06,0.001057803,0.9988919,4.8835267e-05
Test_84,0.00041705553,0.06290175,0.0003252109,0.93635607
Test_85,0.015959289,0.14206105,0.07495396,0.7670257
Test_86,0.00011997678,0.009223755,0.9906024,5.399131e-05
Test_87,0.9206701,0.057045918,0.003439336,0.018844668
Test_88,0.46282148,0.23875894,9.616194e-05,0.29832336
Test_89,0.8226273,0.0051177167,0.017652007,0.15460299
Test_90,1.3980562e-07,8.781469e-05,0.9999119,7.860041e-08
Test_91,0.99983,2.7197471e-05,0.000119741024,2.3084749e-05
Test_92,0.9999633,1.910866e-06,2.2429685e-05,1.2354498e-05
Test_93,1.2868525e-05,0.0003033983,0.9996766,7.1294216e-06
Test_94,5.878152e-05,0.00059859565,9.086854e-06,0.99933356
Test_95,0.9994666,0.000106743886,0.0004098903,1.6827438e-05
Test_96,8.920405e-06,0.0044725044,1.0205072e-05,0.9955083
Test_97,0.9999113,2.1570055e-05,4.1899788e-05,2.5224059e-05
Test_98,0.52098364,0.0646115,0.002553078,0.4118517
Test_99,0.008575843,0.0044709216,0.0013198555,0.98563343
Test_100,0.00046652835,0.001128581,1.1225943e-06,0.99840385
Test_101,0.7582645,0.011581282,0.01546685,0.21468738
Test_102,0.0019609958,0.022600165,0.0029690217,0.9724698
Test_103,0.0017463372,0.9881251,0.001453128,0.008675426
Test_104,4.0493014e-05,0.23934907,7.566429e-06,0.76060295
Test_105,0.003882327,0.0005145671,0.00018078944,0.9954223
Test_106,0.9999076,1.9620442e-05,2.6416245e-05,4.6308e-05
Test_107,1.47861365e-05,0.00019539353,0.99686915,0.0029206153
Test_108,0.048163686,0.11157809,0.023433443,0.81682485
Test_109,0.99239963,0.00012884756,1.1195531e-05,0.007460326
Test_110,0.9995235,0.00012907683,0.00010240015,0.0002450553
Test_111,0.52454764,0.060531948,0.00090099854,0.41401938
Test_112,9.703907e-06,2.0999694e-05,0.9999324,3.686841e-05
Test_113,0.003060011,0.31170055,9.5295065e-05,0.68514407
Test_114,0.0014053384,0.11661214,1.2351855e-05,0.8819703
Test_115,1.4434481e-07,2.1180316e-05,0.99997854,7.984578e-08
Test_116,0.0005903838,0.0008920779,0.8494642,0.1490534
Test_117,0.0001178287,0.7845156,0.2147492,0.0006173647
Test_118,7.271747e-05,2.2736378e-06,0.9999244,5.8766256e-07
Test_119,0.99746704,3.6222315e-05,8.581974e-05,0.0024108198
Test_120,1.644787e-06,5.4035438e-05,0.9999237,2.0615314e-05
Test_121,0.000104335966,0.0004875151,0.9983505,0.001057637
Test_122,0.0009609663,0.00028587854,0.99869055,6.267479e-05
Test_123,4.0136088e-06,3.983907e-05,0.99995375,2.3664759e-06
Test_124,3.8723894e-05,0.052502643,5.697575e-06,0.947453
Test_125,0.00047488444,0.9278286,0.00014719162,0.071549356
Test_126,0.999926,1.5535401e-05,5.0667884e-05,7.802651e-06
Test_127,0.21456619,0.00029125044,0.0057214317,0.77942103
Test_128,4.0079594e-05,0.18913825,0.79836446,0.012457242
Test_129,0.00043768063,0.02647246,0.9669474,0.006142433
Test_130,1.9449149e-06,0.005471015,1.4191694e-06,0.9945257
Test_131,1.5658825e-05,0.0012145216,1.2475858e-06,0.9987686
Test_132,0.9999622,7.169353e-06,2.0566506e-05,1.003458e-05
Test_133,1.4598431e-05,0.53212076,9.273603e-06,0.46785536
Test_134,0.99576485,0.0007054696,0.00015781505,0.0033718236
Test_135,2.2607188e-05,0.001416346,0.9750518,0.023509162
Test_136,2.9304845e-06,0.0004955014,3.396524e-08,0.9995016
Test_137,7.0841907e-07,0.010549377,0.9894499,4.1674234e-08
Test_138,1.4172991e-06,0.00021063189,0.9997876,3.4297466e-07
Test_139,0.999949,4.9112814e-06,1.0422697e-05,3.5750803e-05
Test_140,0.00028013243,2.8329765e-05,0.999634,5.7450045e-05
Test_141,1.8135095e-05,3.8046677e-05,2.9616417e-06,0.9999409
Test_142,0.0023370553,0.005151282,1.0661327e-05,0.9925011
Test_143,0.80279905,0.0076893247,0.0011112768,0.18840031
Test_144,0.999549,1.1120279e-05,0.00029356813,0.00014634941
Test_145,0.0003465541,0.009197972,6.5531036e-05,0.99038994
Test_146,7.798976e-07,7.3967916e-05,0.9999236,1.719512e-06
Test_147,4.685765e-05,0.028014714,0.9714865,0.00045183848
Test_148,0.28489465,0.0009952611,0.0011889318,0.71292114
Test_149,0.00051624037,0.0007072214,0.9827551,0.016021462
Test_150,0.00017083321,0.013820071,0.00011735822,0.98589164
Test_151,4.6698722e-07,6.0955317e-05,0.9999385,7.4697645e-08
Test_152,0.0051557673,0.38406327,0.5959507,0.014830293
Test_153,0.00015754694,0.00055064406,7.035175e-06,0.9992848
Test_154,4.625733e-06,0.00012863537,0.99976224,0.00010456335
Test_155,1.7757029e-07,0.00032193947,0.9996779,4.0818307e-08
Test_156,0.00010281087,0.0005275734,2.7701088e-05,0.9993418
Test_157,0.99717546,0.00047486904,0.00052954763,0.0018201134
Test_158,6.528879e-05,5.812462e-05,1.6178049e-06,0.99987495
Test_159,0.00014568547,5.6355835e-05,0.9995234,0.00027454997
Test_160,0.9995758,7.304437e-05,0.00020985711,0.00014134846
Test_161,0.000118586104,0.0367083,0.00010948777,0.96306354
Test_162,1.8441085e-07,4.018687e-07,0.99999905,3.4955536e-07
Test_163,0.00010256319,0.00068138615,0.99906343,0.00015268962
Test_164,0.020168867,8.234915e-05,0.00090834935,0.97884035
Test_165,1.7112003e-06,0.009954955,2.2550081e-07,0.99004304
Test_166,1.9078132e-06,7.1666086e-06,0.9999894,1.5715798e-06
Test_167,0.00035643045,0.0005299579,0.99907553,3.811289e-05
